"","sid","block_n","snb","bid","b2_bid","s1_rp","s2_rp","outcome","rt","profit","country","out_bool","out_prev","out_aprev","bid_prev","bid_aprev","bid_next","bid_anext","dl"
"113","molenin",22,"SC",3.1,NA,0.6,1,"accept",NA,6.9,"RU",TRUE,NA,0,NA,0,3.1,8.9,NA
"114","molenin",22,"BC",8.9,8.5,7,NA,"accept",NA,1.1,"RU",TRUE,1,1,8.8,0,8.6,4.5,0
"115","molenin",23,"NC",4.5,NA,0.8,NA,"accept",NA,5.5,"RU",TRUE,0,1,4,0,4,3.1,1
"116","molenin",23,"SC",3.1,NA,3,0,"accept",NA,6.9,"RU",TRUE,1,1,3.1,0,2.9,8.6,1
"117","molenin",23,"BC",8.6,8.2,1,NA,"accept",NA,1.4,"RU",TRUE,1,1,8.9,0,8.5,4,1
"118","molenin",24,"NC",4,NA,1,NA,"accept",NA,6,"RU",TRUE,1,1,4.5,0,NA,2.9,1
"119","molenin",24,"SC",2.9,NA,3.1,3,"reject",NA,0,"RU",FALSE,1,1,3.1,0,NA,8.5,1
"120","molenin",24,"BC",8.5,9,0.8,NA,"reject",NA,0,"RU",FALSE,1,0,8.6,0,NA,NA,1
"121","10",1,"NC",4.9,NA,5,NA,"reject",NA,0,"CH",FALSE,NA,NA,NA,0,6.5,8.4,NA
"122","10",1,"SC",8.4,NA,4.2,4.5,"accept",NA,1.6,"CH",TRUE,NA,0,NA,0,5.9,6.7,NA
"123","10",1,"BC",6.7,5,4.9,NA,"accept",NA,3.3,"CH",TRUE,NA,1,NA,0,NA,6.5,NA
"124","10",2,"NC",6.5,NA,5,NA,"accept",NA,3.5,"CH",TRUE,0,1,4.9,0,4.7,5.9,1
"125","10",2,"SC",5.9,NA,4.1,3.1,"accept",NA,4.1,"CH",TRUE,1,1,8.4,0,5,4.7,1
"126","10",3,"NC",4.7,NA,4,NA,"accept",NA,5.3,"CH",TRUE,1,1,6.5,0,5.3,5,1
"127","10",3,"SC",5,NA,2.6,0.1,"accept",NA,5,"CH",TRUE,1,1,5.9,0,5,6.6,1
"128","10",3,"BC",6.6,6.9,5,NA,"reject",NA,0,"CH",FALSE,NA,1,NA,0,7.3,5.3,NA
"129","10",4,"NC",5.3,NA,2.6,NA,"accept",NA,4.7,"CH",TRUE,1,0,4.7,0,4.8,5,0
"130","10",4,"SC",5,NA,4.8,0.1,"accept",NA,5,"CH",TRUE,1,1,5,0,5,7.3,1
"131","10",4,"BC",7.3,7.1,4.5,NA,"accept",NA,2.7,"CH",TRUE,0,1,6.6,0,NA,4.8,1
"132","10",5,"NC",4.8,NA,1,NA,"accept",NA,5.2,"CH",TRUE,1,1,5.3,0,NA,5,1
"133","10",5,"SC",5,NA,0.2,4,"accept",NA,5,"CH",TRUE,1,1,5,0,5.2,5.2,1
"134","10",6,"SC",5.2,NA,3.9,4.3,"accept",NA,4.8,"CH",TRUE,1,1,5,0,5.2,7,0
"135","10",6,"BC",7,5.7,0,NA,"accept",NA,3,"CH",TRUE,NA,1,NA,0,6.9,4.7,NA
"136","10",7,"NC",4.7,NA,4.5,NA,"accept",NA,5.3,"CH",TRUE,NA,1,NA,0,4.8,5.2,NA
