opb,clh,rpe,cob,coe,cmr,sve
3.8,-3.79726727629,5.0,0.1,2.8,177.1,"[ 7.8  3.7  4.8  7.8  3.7  4.8  7.8  3.7  4.8  7.8  3.7  4.8  7.8  3.7  4.8
  7.8  3.7  4.8  7.8  3.7  4.8  7.8  3.7  4.8  7.8  3.7  4.8  7.8  3.7  4.8
  7.8  3.7  4.8  7.8  3.7  4.8  7.8  3.7  4.8  7.8  3.7  4.8  7.8  3.7  4.8
  7.8  3.7  4.8  7.8  3.7  4.8  7.8  3.7  4.8  7.8  3.7  4.8  7.8  3.7  4.8
  7.8]"
4.9,-3.74325373734,-1.4,0.1,5.1,181.9,"[ 7.8  3.7  4.8  7.8  3.7  4.8  7.8  3.7  4.8  7.8  3.7  4.8  7.8  3.7  4.8
  7.8  3.7  4.8  7.8  3.7  4.8  7.8  3.7  4.8  7.8  3.7  4.8  7.8  3.7  4.8
  7.8  3.7  4.8  7.8  3.7  4.8  7.8  3.7  4.8  7.8  3.7  4.8  7.8  3.7  4.8
  7.8  3.7  4.8  7.8  3.7  4.8  7.8  3.7  4.8  7.8  3.7  4.8  7.8  3.7  4.8
  7.8  3.7]"
7.9,-4.42212733093,-4.3,8.3,0.9,182.7,"[-0.4 -4.5 -3.4 -0.4 -4.5 -3.4 -0.4 -4.5 -3.4 -0.4 -4.5 -3.4 -0.4 -4.5 -3.4
 -0.4 -4.5 -3.4 -0.4 -4.5 -3.4 -0.4 -4.5 -3.4 -0.4 -4.5 -3.4 -0.4 -4.5 -3.4
 -0.4 -4.5 -3.4 -0.4 -4.5 -3.4 -0.4 -4.5 -3.4 -0.4 -4.5 -3.4 -0.4 -4.5 -3.4
 -0.4 -4.5 -3.4 -0.4 -4.5 -3.4 -0.4 -4.5 -3.4 -0.4 -4.5 -3.4 -0.4 -4.5 -3.4
 -0.4 -4.5 -3.4]"
3.8,-3.79636918096,5.0,0.1,2.8,189.8,"[ 7.8  3.7  4.8  7.8  3.7  4.8  7.8  3.7  4.8  7.8  3.7  4.8  7.8  3.7  4.8
  7.8  3.7  4.8  7.8  3.7  4.8  7.8  3.7  4.8  7.8  3.7  4.8  7.8  3.7  4.8
  7.8  3.7  4.8  7.8  3.7  4.8  7.8  3.7  4.8  7.8  3.7  4.8  7.8  3.7  4.8
  7.8  3.7  4.8  7.8  3.7  4.8  7.8  3.7  4.8  7.8  3.7  4.8  7.8  3.7  4.8
  7.8  3.7  4.8  7.8]"
4.9,-3.82272434929,-1.8,0.0,5.6,194.2,"[ 7.9  3.8  4.9  7.9  3.8  4.9  7.9  3.8  4.9  7.9  3.8  4.9  7.9  3.8  4.9
  7.9  3.8  4.9  7.9  3.8  4.9  7.9  3.8  4.9  7.9  3.8  4.9  7.9  3.8  4.9
  7.9  3.8  4.9  7.9  3.8  4.9  7.9  3.8  4.9  7.9  3.8  4.9  7.9  3.8  4.9
  7.9  3.8  4.9  7.9  3.8  4.9  7.9  3.8  4.9  7.9  3.8  4.9  7.9  3.8  4.9
  7.9  3.8  4.9  7.9  3.8]"
7.9,-4.50217255913,-4.4,8.4,0.9,194.9,"[-0.5 -4.6 -3.5 -0.5 -4.6 -3.5 -0.5 -4.6 -3.5 -0.5 -4.6 -3.5 -0.5 -4.6 -3.5
 -0.5 -4.6 -3.5 -0.5 -4.6 -3.5 -0.5 -4.6 -3.5 -0.5 -4.6 -3.5 -0.5 -4.6 -3.5
 -0.5 -4.6 -3.5 -0.5 -4.6 -3.5 -0.5 -4.6 -3.5 -0.5 -4.6 -3.5 -0.5 -4.6 -3.5
 -0.5 -4.6 -3.5 -0.5 -4.6 -3.5 -0.5 -4.6 -3.5 -0.5 -4.6 -3.5 -0.5 -4.6 -3.5
 -0.5 -4.6 -3.5 -0.5 -4.6 -3.5]"
3.8,-3.73389192606,4.9,0.5,2.5,201.9,"[ 7.4  3.3  4.4  7.4  3.3  4.4  7.4  3.3  4.4  7.4  3.3  4.4  7.4  3.3  4.4
  7.4  3.3  4.4  7.4  3.3  4.4  7.4  3.3  4.4  7.4  3.3  4.4  7.4  3.3  4.4
  7.4  3.3  4.4  7.4  3.3  4.4  7.4  3.3  4.4  7.4  3.3  4.4  7.4  3.3  4.4
  7.4  3.3  4.4  7.4  3.3  4.4  7.4  3.3  4.4  7.4  3.3  4.4  7.4  3.3  4.4
  7.4  3.3  4.4  7.4  3.3  4.4  7.4]"
4.9,-3.80642730412,-0.5,1.0,3.3,207.6,"[ 6.9  2.8  3.9  6.9  2.8  3.9  6.9  2.8  3.9  6.9  2.8  3.9  6.9  2.8  3.9
  6.9  2.8  3.9  6.9  2.8  3.9  6.9  2.8  3.9  6.9  2.8  3.9  6.9  2.8  3.9
  6.9  2.8  3.9  6.9  2.8  3.9  6.9  2.8  3.9  6.9  2.8  3.9  6.9  2.8  3.9
  6.9  2.8  3.9  6.9  2.8  3.9  6.9  2.8  3.9  6.9  2.8  3.9  6.9  2.8  3.9
  6.9  2.8  3.9  6.9  2.8  3.9  6.9  2.8]"
7.9,-4.58781692096,-4.5,5.6,3.8,208.2,"[ 2.3 -1.8 -0.7  2.3 -1.8 -0.7  2.3 -1.8 -0.7  2.3 -1.8 -0.7  2.3 -1.8 -0.7
  2.3 -1.8 -0.7  2.3 -1.8 -0.7  2.3 -1.8 -0.7  2.3 -1.8 -0.7  2.3 -1.8 -0.7
  2.3 -1.8 -0.7  2.3 -1.8 -0.7  2.3 -1.8 -0.7  2.3 -1.8 -0.7  2.3 -1.8 -0.7
  2.3 -1.8 -0.7  2.3 -1.8 -0.7  2.3 -1.8 -0.7  2.3 -1.8 -0.7  2.3 -1.8 -0.7
  2.3 -1.8 -0.7  2.3 -1.8 -0.7  2.3 -1.8 -0.7]"
3.8,-3.67733393577,4.8,0.0,3.1,215.1,"[ 7.9  3.8  4.9  7.9  3.8  4.9  7.9  3.8  4.9  7.9  3.8  4.9  7.9  3.8  4.9
  7.9  3.8  4.9  7.9  3.8  4.9  7.9  3.8  4.9  7.9  3.8  4.9  7.9  3.8  4.9
  7.9  3.8  4.9  7.9  3.8  4.9  7.9  3.8  4.9  7.9  3.8  4.9  7.9  3.8  4.9
  7.9  3.8  4.9  7.9  3.8  4.9  7.9  3.8  4.9  7.9  3.8  4.9  7.9  3.8  4.9
  7.9  3.8  4.9  7.9  3.8  4.9  7.9  3.8  4.9  7.9]"
